District,Location Name,Latitude,Longitude,Crime Rate,Crowd Density,Street Lighting,Police Distance(km),Hospital Distance(km),Weather,Road Condition,Night Travel,Previous Incidents,Geo Fence,Response Time(min),Risk Level,Safety Score
Karur,Amaravathi River,10.9654,78.0863,Low,Low,Poor,5.7,0.7,Fog,Average,Yes,0,Safe,7,Unsafe,50
Karur,Thanthonimalai,10.9607,78.0805,Medium,Medium,Poor,7.9,2.0,Fog,Good,Yes,4,Outside,11,Unsafe,2
Karur,Karur Bus Stand,10.96,78.076,Medium,High,Poor,5.0,5.6,Clear,Average,No,2,Outside,12,Unsafe,15
Karur,Textile Market,10.9584,78.0748,High,Medium,Poor,3.8,3.2,Fog,Average,No,0,Outside,9,Unsafe,4
Tiruchirappalli,Rock Fort,10.8316,78.6936,Low,Low,Average,7.6,6.5,Clear,Poor,No,8,Safe,3,Unsafe,38
Tiruchirappalli,Srirangam Temple,10.8625,78.6932,Medium,Low,Poor,5.3,8.2,Rain,Poor,No,4,Outside,6,Unsafe,1
Tiruchirappalli,Kallanai Dam,10.8525,78.913,High,Low,Poor,4.8,6.2,Cloudy,Good,No,1,Outside,5,Unsafe,0
Tiruchirappalli,Samayapuram Temple,10.9305,78.736,High,Medium,Average,7.2,2.6,Fog,Average,No,6,Outside,17,Unsafe,0
Tiruchirappalli,Butterfly Park,10.8205,78.6905,Low,High,Average,3.7,7.7,Clear,Good,Yes,4,Outside,5,Unsafe,14
Tiruchirappalli,Mukkombu,10.9065,78.6034,High,High,Good,4.3,7.9,Rain,Poor,No,5,Outside,7,Unsafe,0
Tiruchirappalli,St Joseph Church,10.824,78.6901,High,High,Average,2.7,4.0,Fog,Good,No,0,Outside,10,Unsafe,9
Tiruchirappalli,Central Bus Stand,10.7905,78.6804,High,Medium,Good,2.1,6.6,Cloudy,Good,Yes,8,Outside,8,Unsafe,0
Thanjavur,Brihadeeswarar Temple,10.7828,79.1318,High,Medium,Poor,5.0,8.8,Rain,Average,Yes,3,Outside,14,Unsafe,0
Thanjavur,Saraswathi Mahal,10.783,79.132,Low,Low,Average,3.2,5.5,Rain,Poor,Yes,3,Outside,3,Unsafe,36
Thanjavur,Thanjavur Palace,10.7825,79.1322,Low,Medium,Good,7.1,2.8,Rain,Poor,Yes,8,Outside,6,Unsafe,27
Thanjavur,Sivaganga Park,10.7823,79.1335,Medium,Medium,Poor,5.5,5.8,Rain,Poor,No,0,Outside,14,Unsafe,14
Thanjavur,Punnainallur Temple,10.8293,79.1744,Low,High,Poor,3.1,2.6,Cloudy,Poor,No,6,Safe,5,Unsafe,50
Thanjavur,Grand Anicut Canal,10.7911,79.1605,Low,Low,Poor,1.2,4.4,Cloudy,Good,Yes,3,Safe,4,Unsafe,56
Thanjavur,Royal Museum,10.7829,79.1315,Low,High,Average,0.7,6.3,Fog,Average,No,3,Outside,16,Unsafe,38
Thanjavur,Railway Junction,10.786,79.139,High,Low,Average,3.7,3.1,Rain,Poor,No,6,Safe,15,Unsafe,27
Kanniyakumari,Vivekananda Rock,8.078,77.555,Medium,Medium,Poor,2.2,8.5,Fog,Average,No,3,Safe,15,Unsafe,28
Kanniyakumari,Thiruvalluvar Statue,8.0785,77.5546,High,Low,Good,4.5,0.8,Cloudy,Good,Yes,2,Outside,17,Unsafe,19
Kanniyakumari,Sunrise Point,8.0795,77.5548,Low,Medium,Average,4.6,3.5,Cloudy,Good,No,7,Safe,12,Unsafe,55
Kanniyakumari,Sunset Point,8.0756,77.549,High,High,Poor,5.7,3.0,Clear,Poor,Yes,3,Outside,4,Unsafe,0
Kanniyakumari,Kanyakumari Beach,8.079,77.5545,High,Low,Good,5.6,9.8,Rain,Poor,Yes,2,Outside,4,Unsafe,0
Kanniyakumari,Padmanabhapuram Palace,8.2505,77.3255,Medium,High,Average,2.8,2.4,Cloudy,Poor,Yes,2,Outside,7,Unsafe,21
Kanniyakumari,Mathur Aqueduct,8.307,77.315,Low,Medium,Good,5.7,8.2,Clear,Poor,No,5,Safe,8,Unsafe,47
Kanniyakumari,Vattakottai Fort,8.1262,77.566,Medium,Low,Good,4.2,9.4,Cloudy,Poor,No,2,Safe,8,Unsafe,53
Nilgiris,Ooty Lake,11.4064,76.6932,Low,High,Poor,2.4,2.1,Clear,Average,Yes,2,Outside,19,Unsafe,26
Nilgiris,Botanical Garden,11.4125,76.7115,High,High,Poor,2.7,1.6,Rain,Poor,No,5,Safe,6,Unsafe,17
Nilgiris,Doddabetta Peak,11.4065,76.735,High,Medium,Good,2.5,5.6,Fog,Good,No,8,Outside,6,Unsafe,6
Nilgiris,Pykara Falls,11.4702,76.6045,High,Low,Average,8.0,3.5,Fog,Good,Yes,8,Safe,7,Unsafe,1
Nilgiris,Avalanche Lake,11.302,76.633,Low,Medium,Good,0.5,9.2,Rain,Poor,No,2,Outside,17,Unsafe,53
Nilgiris,Emerald Lake,11.3382,76.6155,Medium,Low,Average,3.1,2.5,Rain,Average,Yes,7,Safe,5,Unsafe,41
Nilgiris,Tea Museum,11.4122,76.7055,High,Medium,Good,4.7,2.6,Clear,Good,No,7,Safe,15,Unsafe,36
Nilgiris,Rose Garden,11.4152,76.7065,High,High,Average,1.1,3.6,Cloudy,Poor,No,8,Outside,10,Unsafe,3
Namakkal,Mohanur River,11.0605,78.14,Medium,Low,Poor,5.2,4.7,Cloudy,Good,No,4,Safe,13,Unsafe,31
Namakkal,Paramathi Velur,11.1098,78.0031,Medium,High,Poor,4.9,7.4,Rain,Poor,No,6,Safe,3,Unsafe,17
Nilgiris,Ooty Lake,11.4064,76.6932,High,High,Average,4.3,6.8,Cloudy,Average,Yes,6,Outside,15,Unsafe,0
Namakkal,Namakkal Fort,11.2194,78.1676,Medium,Low,Average,2.3,6.5,Clear,Good,Yes,3,Outside,4,Unsafe,11
Madurai,Samanar Hills,9.8883,78.0675,Low,High,Average,3.6,8.0,Clear,Poor,No,8,Outside,8,Unsafe,18
Nilgiris,Tea Museum,11.4122,76.7055,Low,High,Average,6.1,5.7,Clear,Poor,No,1,Outside,3,Unsafe,32
Thanjavur,Sivaganga Park,10.7823,79.1335,High,Medium,Good,6.2,4.7,Clear,Good,Yes,2,Safe,11,Unsafe,16
Coimbatore,Perur Temple,10.976,76.9123,Low,High,Average,4.7,0.9,Fog,Poor,No,3,Safe,5,Medium,66
Nilgiris,Emerald Lake,11.3382,76.6155,Low,Low,Poor,3.2,8.8,Clear,Good,Yes,8,Outside,11,Unsafe,6
Thanjavur,Saraswathi Mahal,10.783,79.132,Low,High,Average,7.6,6.9,Rain,Good,No,5,Outside,20,Unsafe,14
Tiruchirappalli,Srirangam Temple,10.8625,78.6932,Low,High,Average,7.4,5.7,Clear,Average,Yes,3,Safe,18,Unsafe,36
Karur,Karur Bus Stand,10.96,78.076,Low,High,Good,7.8,1.2,Rain,Good,No,5,Safe,15,Medium,60
Karur,Thanthonimalai,10.9607,78.0805,Low,High,Good,3.4,9.5,Rain,Poor,Yes,2,Outside,10,Unsafe,26
Kanniyakumari,Vivekananda Rock,8.078,77.555,Medium,Low,Average,2.7,3.4,Clear,Good,No,7,Safe,10,Unsafe,45
Karur,Amaravathi River,10.9654,78.0863,High,Medium,Average,3.0,1.7,Fog,Average,Yes,2,Safe,9,Unsafe,26
Chennai,VGP Golden Beach,12.9124,80.2517,Low,Medium,Average,6.1,3.9,Clear,Poor,Yes,1,Outside,4,Unsafe,25
Salem,Sugavaneswarar Temple,11.6643,78.146,High,Low,Good,1.3,1.2,Cloudy,Poor,Yes,6,Outside,14,Unsafe,21
Kanniyakumari,Kanyakumari Beach,8.079,77.5545,Medium,Medium,Poor,3.2,5.5,Clear,Good,Yes,0,Safe,16,Unsafe,32
Namakkal,Mohanur River,11.0605,78.14,High,Medium,Poor,5.0,3.5,Cloudy,Good,No,7,Safe,8,Unsafe,10
Namakkal,Paramathi Velur,11.1098,78.0031,High,High,Good,0.5,3.4,Cloudy,Poor,No,3,Outside,7,Unsafe,21
Nilgiris,Botanical Garden,11.4125,76.7115,High,Medium,Good,5.8,2.8,Rain,Good,Yes,5,Outside,12,Unsafe,0
Coimbatore,Siruvani Falls,10.947,76.691,High,Low,Good,6.1,6.5,Cloudy,Good,No,5,Safe,14,Unsafe,17
Coimbatore,VOC Park,11.0032,76.9725,Low,Medium,Average,4.5,6.0,Rain,Average,Yes,0,Safe,9,Unsafe,57
Chennai,Kapaleeshwar Temple,13.0339,80.269,Medium,Medium,Average,3.7,8.4,Rain,Good,No,6,Safe,14,Unsafe,32
Chennai,Government Museum,13.0722,80.264,High,Low,Good,3.9,2.3,Rain,Good,Yes,4,Safe,3,Unsafe,35
Tiruchirappalli,Mukkombu,10.9065,78.6034,High,High,Poor,4.0,6.7,Fog,Poor,Yes,6,Outside,15,Unsafe,0
Tiruchirappalli,Srirangam Temple,10.8625,78.6932,Medium,High,Good,3.5,5.4,Cloudy,Good,No,0,Safe,12,Unsafe,57
Tiruchirappalli,Mukkombu,10.9065,78.6034,Medium,Low,Good,2.8,8.7,Cloudy,Poor,No,3,Outside,5,Unsafe,31
Karur,Pasupatheswarar Temple,10.9601,78.0766,High,Medium,Poor,3.7,7.8,Clear,Poor,No,5,Outside,8,Unsafe,0
Kanniyakumari,Vattakottai Fort,8.1262,77.566,Medium,High,Good,1.3,6.9,Fog,Poor,No,2,Safe,19,Unsafe,53
Nilgiris,Botanical Garden,11.4125,76.7115,Medium,Medium,Good,1.1,2.9,Clear,Good,Yes,3,Outside,6,Unsafe,42
Tiruchirappalli,Butterfly Park,10.8205,78.6905,Medium,High,Average,5.0,6.3,Clear,Poor,No,7,Outside,15,Unsafe,5
Coimbatore,Black Thunder,11.3122,76.9415,Low,High,Poor,6.7,5.1,Fog,Average,Yes,2,Safe,16,Unsafe,28
Chennai,Guindy National Park,13.0108,80.2295,Low,High,Good,5.0,0.5,Fog,Average,No,5,Safe,16,Medium,70
Namakkal,Mohanur River,11.0605,78.14,High,Medium,Good,4.1,5.6,Rain,Average,Yes,3,Safe,14,Unsafe,24
Madurai,Samanar Hills,9.8883,78.0675,Low,Low,Average,5.9,8.0,Fog,Good,Yes,0,Safe,9,Unsafe,42
Coimbatore,Kovai Kutralam,10.9414,76.7602,Medium,Medium,Average,1.7,10.0,Clear,Good,No,4,Outside,17,Unsafe,26
Thanjavur,Railway Junction,10.786,79.139,Medium,High,Good,6.3,7.9,Rain,Good,Yes,7,Safe,5,Unsafe,11
Nilgiris,Doddabetta Peak,11.4065,76.735,Medium,High,Poor,2.4,9.9,Clear,Average,No,0,Outside,16,Unsafe,9
Madurai,Vaigai Dam,9.8264,77.4947,High,High,Good,7.5,0.8,Clear,Good,Yes,1,Safe,12,Unsafe,21
Madurai,Gandhi Museum,9.934,78.1306,High,High,Poor,3.5,3.7,Fog,Average,Yes,4,Outside,15,Unsafe,0
Coimbatore,Brookefields Mall,11.0183,76.9725,Low,Low,Good,1.8,1.4,Fog,Good,No,8,Outside,3,Medium,64
Namakkal,Mohanur River,11.0605,78.14,Low,Medium,Average,2.0,1.1,Clear,Good,No,0,Outside,20,Medium,67
Namakkal,Rasipuram Temple,11.4605,78.1865,High,Medium,Good,7.2,4.6,Fog,Poor,No,1,Safe,7,Unsafe,30
Kanniyakumari,Padmanabhapuram Palace,8.2505,77.3255,Low,Low,Average,6.1,4.5,Rain,Average,No,2,Outside,19,Unsafe,40
Coimbatore,Isha Yoga Center,10.9862,76.7356,Medium,Medium,Good,2.6,8.9,Fog,Average,No,5,Safe,14,Unsafe,42
Salem,Mettur Dam,11.8005,77.8002,Low,Low,Good,3.9,1.2,Rain,Poor,Yes,4,Safe,13,Medium,70
Coimbatore,Perur Temple,10.976,76.9123,Low,Medium,Average,4.8,5.5,Fog,Average,Yes,2,Outside,6,Unsafe,33
Nilgiris,Ooty Lake,11.4064,76.6932,High,Medium,Good,5.8,2.8,Clear,Good,No,7,Safe,12,Unsafe,26
Karur,Karur Bus Stand,10.96,78.076,Low,High,Average,2.2,5.6,Rain,Average,No,2,Safe,16,Medium,60
Karur,Nerur Temple,10.9032,78.0625,High,Medium,Good,4.2,2.4,Fog,Good,No,5,Outside,13,Unsafe,20
Tiruchirappalli,Samayapuram Temple,10.9305,78.736,Low,High,Average,5.1,1.4,Clear,Average,No,4,Outside,5,Unsafe,34
Salem,Mettur Dam,11.8005,77.8002,Medium,High,Average,4.1,3.5,Clear,Average,No,3,Safe,6,Unsafe,43
Coimbatore,Marudhamalai Temple,11.0453,76.862,Medium,High,Average,2.8,3.8,Rain,Poor,No,2,Outside,14,Unsafe,25
Nilgiris,Rose Garden,11.4152,76.7065,Medium,Low,Average,6.3,0.5,Fog,Good,No,4,Outside,19,Unsafe,29
Kanniyakumari,Vivekananda Rock,8.078,77.555,High,Low,Average,5.2,2.7,Fog,Good,Yes,6,Safe,7,Unsafe,13
Tiruchirappalli,Rock Fort,10.8316,78.6936,Low,High,Average,4.0,2.0,Fog,Poor,Yes,4,Outside,9,Unsafe,32
Namakkal,Paramathi Velur,11.1098,78.0031,High,Low,Poor,0.9,5.8,Clear,Good,Yes,4,Safe,20,Unsafe,19
Tiruchirappalli,Samayapuram Temple,10.9305,78.736,High,High,Poor,7.2,1.7,Rain,Good,No,2,Safe,5,Unsafe,13
Madurai,Thirumalai Nayakkar Mahal,9.916,78.1213,Low,High,Poor,6.1,5.4,Cloudy,Good,Yes,1,Outside,18,Unsafe,10
Chennai,Anna Nagar Tower Park,13.085,80.2101,High,Low,Average,3.1,5.5,Rain,Average,No,0,Safe,4,Unsafe,39
Thanjavur,Royal Museum,10.7829,79.1315,High,High,Average,6.3,7.3,Clear,Good,No,7,Outside,15,Unsafe,0
Nilgiris,Botanical Garden,11.4125,76.7115,High,High,Good,7.5,8.3,Cloudy,Poor,No,7,Safe,11,Unsafe,3
Karur,Amaravathi River,10.9654,78.0863,Medium,Low,Good,1.1,8.2,Cloudy,Poor,No,0,Safe,20,Medium,67
Salem,Kiliyur Falls,11.7793,78.214,High,High,Average,0.8,4.3,Cloudy,Good,Yes,5,Outside,15,Unsafe,0
Salem,Pagoda Point,11.7835,78.2145,Medium,High,Good,5.0,1.9,Rain,Average,No,2,Outside,13,Unsafe,41
Chennai,Marina Beach,13.05,80.2824,High,Medium,Average,5.3,4.4,Rain,Average,No,8,Outside,5,Unsafe,0
Karur,Pugalur,10.9301,78.036,High,Medium,Good,5.7,6.4,Rain,Poor,Yes,7,Safe,17,Unsafe,0
Madurai,Thirumalai Nayakkar Mahal,9.916,78.1213,Medium,High,Average,7.2,5.1,Fog,Poor,Yes,2,Outside,10,Unsafe,3
Thanjavur,Royal Museum,10.7829,79.1315,Medium,Medium,Good,3.9,1.2,Rain,Good,No,8,Safe,11,Unsafe,54
Kanniyakumari,Padmanabhapuram Palace,8.2505,77.3255,High,High,Good,3.0,2.0,Clear,Poor,Yes,8,Outside,18,Unsafe,0
Tiruchirappalli,Srirangam Temple,10.8625,78.6932,High,Low,Good,1.1,9.2,Clear,Good,No,6,Safe,8,Unsafe,35
Kanniyakumari,Mathur Aqueduct,8.307,77.315,Low,High,Poor,7.5,4.4,Rain,Good,Yes,7,Safe,3,Unsafe,18
Namakkal,Namakkal Fort,11.2194,78.1676,High,High,Average,5.1,3.5,Rain,Poor,No,0,Safe,20,Unsafe,19
Madurai,Alagar Kovil,10.0203,78.1745,High,Medium,Average,3.9,4.3,Cloudy,Average,Yes,7,Outside,7,Unsafe,0
Tiruchirappalli,Srirangam Temple,10.8625,78.6932,High,Medium,Good,0.8,2.2,Fog,Good,Yes,6,Safe,9,Unsafe,36
Chennai,Fort St George,13.0827,80.287,High,High,Poor,2.4,2.6,Rain,Average,No,6,Safe,16,Unsafe,15
Chennai,Anna Nagar Tower Park,13.085,80.2101,Low,Medium,Average,4.1,4.0,Clear,Poor,No,4,Outside,13,Unsafe,41
Chennai,Elliot Beach,13.0003,80.2667,High,High,Poor,4.4,5.0,Rain,Poor,No,2,Safe,20,Unsafe,15
Nilgiris,Tea Museum,11.4122,76.7055,Medium,High,Average,4.3,3.2,Rain,Average,Yes,0,Safe,6,Unsafe,37
Namakkal,Rasipuram Temple,11.4605,78.1865,High,Low,Poor,4.7,7.1,Fog,Poor,Yes,3,Outside,8,Unsafe,0
Karur,Thanthonimalai,10.9607,78.0805,High,Low,Average,3.2,9.1,Rain,Poor,Yes,6,Safe,14,Unsafe,5
Thanjavur,Railway Junction,10.786,79.139,Low,High,Good,5.9,6.5,Cloudy,Good,Yes,1,Outside,18,Unsafe,18
Thanjavur,Sivaganga Park,10.7823,79.1335,Medium,Low,Good,2.5,1.3,Cloudy,Poor,Yes,7,Outside,20,Unsafe,29
Kanniyakumari,Vivekananda Rock,8.078,77.555,Medium,High,Good,2.8,2.2,Fog,Good,No,1,Outside,8,Unsafe,43
Salem,Sugavaneswarar Temple,11.6643,78.146,Low,High,Poor,7.0,6.9,Fog,Average,Yes,7,Safe,3,Unsafe,8
Karur,Karur Bus Stand,10.96,78.076,Medium,Low,Good,3.7,4.8,Clear,Good,No,1,Safe,16,Medium,65
Salem,Pagoda Point,11.7835,78.2145,Medium,High,Good,2.1,9.1,Clear,Good,Yes,6,Outside,4,Unsafe,3
Chennai,Elliot Beach,13.0003,80.2667,Low,Medium,Average,1.9,5.7,Fog,Good,Yes,7,Outside,4,Unsafe,33
Tiruchirappalli,Samayapuram Temple,10.9305,78.736,High,Medium,Average,3.6,6.4,Rain,Poor,Yes,1,Outside,18,Unsafe,0
Nilgiris,Emerald Lake,11.3382,76.6155,High,Low,Good,6.4,9.8,Clear,Good,No,6,Safe,13,Unsafe,15
Kanniyakumari,Mathur Aqueduct,8.307,77.315,Medium,High,Average,1.9,6.5,Clear,Average,Yes,1,Safe,20,Unsafe,35
Karur,Nerur Temple,10.9032,78.0625,Medium,Medium,Good,5.5,2.5,Fog,Average,No,0,Outside,4,Unsafe,40
Karur,Pasupatheswarar Temple,10.9601,78.0766,Medium,Medium,Average,3.7,3.4,Fog,Average,Yes,4,Safe,11,Unsafe,34
Kanniyakumari,Thiruvalluvar Statue,8.0785,77.5546,High,High,Average,3.5,2.9,Cloudy,Average,Yes,1,Safe,9,Unsafe,23
Chennai,Fort St George,13.0827,80.287,Low,High,Good,4.1,3.1,Clear,Average,No,6,Safe,13,Medium,60
Salem,Pagoda Point,11.7835,78.2145,Low,High,Average,1.4,9.5,Clear,Good,No,8,Outside,19,Unsafe,28
Thanjavur,Sivaganga Park,10.7823,79.1335,High,High,Good,3.0,3.6,Fog,Average,No,6,Outside,17,Unsafe,5
Kanniyakumari,Padmanabhapuram Palace,8.2505,77.3255,Medium,Low,Good,6.1,4.7,Clear,Good,No,4,Outside,12,Unsafe,29
Karur,Thanthonimalai,10.9607,78.0805,High,Medium,Average,2.2,8.6,Clear,Average,No,7,Outside,4,Unsafe,0
Tiruchirappalli,St Joseph Church,10.824,78.6901,High,High,Good,7.3,4.8,Fog,Poor,Yes,2,Safe,10,Unsafe,11
Kanniyakumari,Padmanabhapuram Palace,8.2505,77.3255,High,High,Good,2.2,2.9,Fog,Average,Yes,1,Outside,7,Unsafe,11
Madurai,Gandhi Museum,9.934,78.1306,High,Low,Average,5.9,7.5,Clear,Good,Yes,0,Safe,8,Unsafe,7
Thanjavur,Royal Museum,10.7829,79.1315,Medium,Medium,Poor,1.3,8.5,Fog,Average,No,6,Safe,4,Unsafe,32
Madurai,Vaigai Dam,9.8264,77.4947,Medium,High,Good,4.2,2.4,Cloudy,Average,Yes,0,Outside,16,Unsafe,33
Namakkal,Aagaya Gangai Falls,11.2735,78.3335,High,Low,Average,6.5,4.7,Clear,Good,Yes,8,Outside,6,Unsafe,0
Namakkal,Mohanur River,11.0605,78.14,Low,Medium,Poor,6.9,2.4,Clear,Good,Yes,8,Outside,18,Unsafe,9
Coimbatore,Black Thunder,11.3122,76.9415,Medium,Low,Poor,4.6,6.1,Cloudy,Good,No,0,Outside,15,Unsafe,19
Madurai,Samanar Hills,9.8883,78.0675,Medium,Medium,Poor,4.6,9.0,Clear,Poor,No,7,Outside,18,Unsafe,0
Karur,Textile Market,10.9584,78.0748,Low,Medium,Good,1.2,7.6,Cloudy,Average,No,4,Safe,20,Medium,69
Madurai,Thirumalai Nayakkar Mahal,9.916,78.1213,Medium,Medium,Good,6.6,8.3,Fog,Good,No,2,Outside,5,Unsafe,18
Madurai,Alagar Kovil,10.0203,78.1745,High,High,Average,4.5,5.4,Fog,Average,Yes,3,Safe,10,Unsafe,11
Karur,Pasupatheswarar Temple,10.9601,78.0766,Low,High,Good,5.3,5.9,Clear,Poor,No,4,Outside,6,Unsafe,34
Karur,Thanthonimalai,10.9607,78.0805,High,Low,Poor,1.1,3.2,Rain,Good,No,4,Outside,16,Unsafe,11
Tiruchirappalli,Butterfly Park,10.8205,78.6905,Medium,Medium,Poor,2.9,6.9,Fog,Good,Yes,8,Safe,7,Unsafe,6
Namakkal,Aagaya Gangai Falls,11.2735,78.3335,Low,Medium,Poor,1.1,9.4,Fog,Good,Yes,7,Safe,20,Unsafe,33
Tiruchirappalli,Kallanai Dam,10.8525,78.913,Low,Low,Poor,7.5,9.9,Cloudy,Good,Yes,7,Safe,4,Unsafe,18
Chennai,Fort St George,13.0827,80.287,Medium,Medium,Good,2.3,8.3,Cloudy,Good,Yes,7,Outside,6,Unsafe,6
Tiruchirappalli,Samayapuram Temple,10.9305,78.736,Low,Medium,Average,5.0,8.4,Fog,Poor,No,7,Outside,12,Unsafe,25
Salem,Anna Park,11.7741,78.209,High,Low,Average,7.4,7.8,Fog,Good,No,0,Outside,9,Unsafe,0
